Nombre	tipo	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax	Rmin	Rmax	THETAmin	THETAmax
C25-PLM-2-1-04-O1	cartesianas	10880	26270	10700	14200	-5720	-300	0	0	0	0
C25-PLM-2-1-04-O2	cartesianas	10700	10880	6000	14200	-5720	-300	0	0	0	0
C25-PLM-2-1-05	cartesianas	21470	24870	-2250	-400	-5800	-1000	0	0	0	0
C25-PLM-2-1-06	cartesianas	-24803	-17300	7561	18259.633	-6700	-150	0	0	0	0
C25-PLM-2-1-07	cartesianas	-19899	-8700	14500	27500	-6900	-200	0	0	0	0
C25-PLM-2-1-09	cartesianas	-8400	-100	14500	25250	-6900	-200	0	0	0	0
C25-PLM-2-1-11	cartesianas	100	8400	14500	27500	-6900	-200	0	0	0	0
C25-PLM-2-1-12	cartesianas	11380	15680	-9000	-6000	-5800	-2820	0	0	0	0
C25-PLM-2-1-13	cartesianas	34350	37795	150	3475	-6900	-300	0	0	0	0
C25-PLM-2-1-14	cartesianas	15880	20180	-9000	-6000	-5800	-2800	0	0	0	0
C25-PLM-2-1-15	cartesianas	11080	15680	6000	10700	-5800	-500	0	0	0	0
C25-PLM-2-1-16	cartesianas	17150	25350	-25200	-14500	-5800	-300	0	0	0	0
C25-PLM-2-1-17	cartesianas	15880	20180	6000	10700	-5800	-500	0	0	0	0
C25-PLM-2-1-18	cartesianas	20380	26070	-9000	-6000	-5800	-2800	0	0	0	0
C25-PLM-2-1-19	cartesianas	17150	25350	14500	25250	-6900	-200	0	0	0	0
C25-PLM-2-1-20	cartesianas	25650	36550	-25200	-14500	-5800	-300	0	0	0	0
C25-PLM-2-1-21	cartesianas	20380	26070	6000	10700	-5800	-500	0	0	0	0
C25-PLM-2-1-22	cartesianas	34350	37795	-3475	-150	-6900	-300	0	0	0	0
C25-PLM-2-1-23	cartesianas	25750	33700	14600	25000	-5800	-600	0	0	0	0
C25-PLM-2-1-24	cartesianas	34350	37894.039	-8670	-3775	-5800	-300	0	0	0	0
C25-PLM-2-1-25	cartesianas	34350	37894.371	3775	6555	-5800	-200	0	0	0	0
C25-PLM-2-1-26	cartesianas	10700	13350	-4600	-400	-5800	-1000	0	0	0	0
C25-PLM-2-1-27	cartesianas	10700	13350	400	4600	-5800	-1000	0	0	0	0
C25-PLM-2-1-28	cartesianas	14150	16810	-4600	-400	-5800	-1000	0	0	0	0
C25-PLM-2-1-29	cartesianas	14150	16810	400	4600	-5800	-1000	0	0	0	0
C25-PLM-2-1-30	cartesianas	17610	20270	-4600	-400	-5800	-1000	0	0	0	0
C25-PLM-2-1-31	cartesianas	17610	20270	400	4600	-5800	-1000	0	0	0	0
C25-PLM-2-1-32	cartesianas	21470	24870	400	4600	-5800	-1000	0	0	0	0
C25-PLM-2-1-33	cartesianas	21470	24870	-4600	-2750	-5800	-1000	0	0	0	0
C25-PLM-2-1-37	cartesianas	-17100	-13860	10900	14300	-7100	-150	0	0	0	0
C25-PLM-2-1-41	cartesianas	-23089.5	-17300	-14200	-6285	-6700	-150	0	0	0	0
C25-PLM-2-1-42	cartesianas	-19800	-17300	7561	11386	-6700	-150	0	0	0	0
C25-PLM-2-1-44	cartesianas	-19747	-17300	-9925	-7640	-6700	-150	0	0	0	0
C25-PLM-2-1-45	cartesianas	-16950	-8650	25500	29750	-5800	-200	0	0	0	0
C25-PLM-2-1-46	cartesianas	37050	43820	-25200	-14800	-5800	-600	0	0	0	0
C25-PLM-2-1-47	cartesianas	21400	25200	25500	29750	-5800	-200	0	0	0	0
